Wetlands name,State,ID,Species,Species normalized,Area,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Chandala Swamp,WA,322,20,20,1,-31.5,115.9666667,0.000572392,29.1256,0.483263,1.11504,2.55907,0.487889,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Ellen Brook Swamps System,WA,323,36,180,0.2,-31.75,116.0333333,0.000640114,38.0643,0.488285,46.5116,34.5263,0.421108,1.662283944,0.096456709,280.8617885,0.543144671
Gibbs Road Swamp System,WA,324,499,712.8571429,0.7,-32.13333333,115.8666667,0.000656052,14.654705,0.5151595,0.6722775,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Guraga Lake,WA,325,8,2.285714286,3.5,-30.86666667,115.5666667,4.81E-05,13.8816,0.504178,0.0883006,1.00E+31,1.00E+31,1.18321551,0.091720966,238.419977,0.395402992
Herdsman Lake,WA,326,119,47.6,2.5,-31.91666667,115.8,0.00128932,20.1362,0.269119,3.02528,914.001,9.90951,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Joondalup Lake,WA,327,70,13.20754717,5.3,-31.75,115.7833333,0.000827977,32.3381,0.425592,1.44711,717.577,7.78176,1.631657794,0.145251649,210.8755422,0.900951269
Lake McLarty System,WA,328,28,7,4,-32.63333333,115.7,0.00147373,4.492295,0.900269,75.0108,28.68395,0.150644,1.389884211,0.09743448,135.3943189,0.590750171
Loch McNess System,WA,329,76,29.80392157,2.55,-31.53333333,115.6833333,8.86E-05,34.9135,0.722194,0.326247,205.364,4.94322,1.19510282,0.100820587,206.7551997,0.401670285
McCarley’s Swamp (Ludlow Swamp),WA,330,1,4,0.25,-33.6,115.5,0.00126759,5.88504,0.353175,1.19854,1.00E+31,1.00E+31,0.890789221,0.073878111,188.0770696,0.409181898
Perth Airport Woodland Swamps,WA,331,12,52.17391304,0.23,-31.91666667,115.8333333,0.00129252,20.1362,0.326768,68.7845,474.573,0.684285,1.00E+31,1.00E+31,1.00E+31,1.00E+31
